<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.10.24	22226.8	22302.7	21434.1	21609.6	76399	0	0
2018.10.25	21571.9	21879.2	21286.8	21613.3	68299	0	0
2018.10.26	21585.6	21623.2	20878.8	21296.0	109025	0	0
2018.10.29	21293.5	21579.5	20880.9	21086.4	70430	0	0
2018.10.30	21078.8	21761.9	21041.2	21751.9	94472	0	0
2018.10.31	21731.8	22021.6	21640.2	21845.8	44559	0	0
2018.11.01	21825.7	21942.1	21589.5	21809.3	42055	0	0
2018.11.02	21772.1	22395.2	21733.9	22053.5	60328	0	0
2018.11.05	22038.1	22154.7	21931.5	22064.4	36000	0	0
2018.11.06	22081.8	22328.6	22041.7	22308.5	28141	0	0
2018.11.07	22285.9	22632.9	22052.5	22632.8	54180	0	0
2018.11.08	22590.2	22642.7	22419.7	22506.1	28877	0	0
2018.11.09	22483.5	22546.1	22063.9	22179.0	37045	0	0
2018.11.12	22173.7	22376.3	21779.2	21834.2	39742	0	0
2018.11.13	21811.6	22013.5	21523.5	21822.8	54738	0	0
2018.11.14	21810.2	22029.4	21592.5	21721.3	64191	0	0
2018.11.15	21713.7	21980.4	21578.8	21935.3	63480	0	0
2018.11.16	21932.7	21947.7	21532.4	21793.6	46726	0	0
2018.11.19	21723.2	21956.9	21563.2	21624.3	43690	0	0
2018.11.20	21611.7	21724.2	21207.7	21242.4	62165	0	0
2018.11.21	21246.2	21782.1	21197.3	21671.6	43419	0	0
2018.11.22	21654.1	21771.2	21505.0	21600.4	15423	0	0
2018.11.23	21602.6	21715.1	21477.8	21508.9	21694	0	0
2018.11.26	21513.4	22115.3	21513.4	21975.1	23947	0	0
2018.11.27	21977.6	22224.8	21838.4	22148.9	38586	0	0
2018.11.28	22126.3	22442.8	22063.7	22427.8	29069	0	0
2018.11.29	22405.2	22456.3	22211.5	22301.2	29907	0	0
2018.11.30	22293.7	22444.9	22249.6	22434.9	22601	0	0
2018.12.03	22613.4	22790.9	22539.8	22639.6	29111	0	0
2018.12.04	22633.3	22637.9	21584.0	21602.5	44298	0	0
2018.12.05	21620.0	21987.4	21589.2	21934.4	17019	0	0
2018.12.06	21875.1	21877.1	21074.9	21642.3	77326	0	0
2018.12.07	21633.8	21732.4	21249.8	21339.7	70793	0	0
2018.12.10	21258.3	21390.7	20945.9	21335.7	67087	0	0
2018.12.11	21328.0	21529.7	21059.2	21259.3	50112	0	0
2018.12.12	21235.6	21827.8	21235.6	21642.5	40567	0	0
2018.12.13	21640.0	21917.7	21638.6	21737.2	36220	0	0
2018.12.14	21723.5	21760.9	21251.0	21264.7	35715	0	0
2018.12.17	21232.7	21563.1	20974.4	21164.7	4811	0	0
2018.12.18	21157.2	21329.8	20979.0	21014.0	39180	0	0
2018.12.19	20995.4	21196.5	20566.8	20698.2	50829	0	0
2018.12.20	20698.2	20838.3	20086.9	20422.4	67602	0	0
2018.12.21	20411.0	20451.0	19783.8	19861.2	69215	0	0
2018.12.24	19772.8	19965.5	19289.3	19314.3	32665	0	0
2018.12.26	19246.3	20139.7	18973.3	20059.5	86008	0	0
2018.12.27	20058.2	20249.7	19557.2	20069.2	85101	0	0
2018.12.28	20052.9	20114.2	19767.5	19963.7	70955	0	0
2018.12.31	20070.5	20143.1	19767.3	19867.4	20164	0	0
2019.01.02	19868.1	20018.3	19335.0	19751.5	45891	0	0
2019.01.03	19401.0	19711.1	19340.7	19480.8	45556	0	0
2019.01.04	19464.5	20246.3	19265.5	20141.2	63155	0	0
2019.01.07	20162.9	20350.3	20013.8	20240.1	42831	0	0
2019.01.08	20206.2	20455.1	20135.0	20339.9	40663	0	0
2019.01.09	20332.3	20528.6	20214.4	20304.4	34782	0	0
2019.01.10	20286.9	20420.4	20072.6	20414.1	36797	0	0
2019.01.11	20392.2	20424.0	20218.7	20323.7	23760	0	0
2019.01.14	20290.3	20290.3	20012.4	20157.3	13521	0	0
2019.01.15	20154.8	20605.2	20154.8	20572.3	32196	0	0
2019.01.16	20544.8	20617.0	20340.7	20546.9	21403	0	0
2019.01.17	20505.7	20646.7	20220.1	20556.5	32715	0	0
2019.01.18	20529.0	20991.5	20476.4	20991.5	30317	0	0
2019.01.21	20953.2	20973.2	20695.4	20745.2	13818	0	0
2019.01.22	20752.6	20830.2	20359.4	20459.5	27910	0	0
2019.01.23	20437.0	20749.5	20429.4	20584.2	32658	0	0
2019.01.24	20561.7	20669.1	20452.7	20623.8	31624	0	0
2019.01.25	20611.3	20918.7	20568.8	20853.6	25361	0	0
2019.01.28	20830.3	20850.3	20482.2	20592.2	26198	0	0
2019.01.29	20569.7	20765.7	20410.9	20696.9	23425	0	0
2019.01.30	20708.1	20856.7	20525.4	20821.6	22592	0	0
2019.01.31	20805.4	20896.6	20639.9	20846.2	19973	0	0
2019.02.01	20843.7	20931.2	20724.5	20810.8	23208	0	0
2019.02.04	20757.5	20915.0	20756.3	20889.6	16574	0	0
2019.02.05	20887.1	20974.3	20813.2	20944.3	12021	0	0
