Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
BGC,"Bgc Partners Cl A",9.7,0.18,+1.89%,9.6,9.73,9.54,2080000,2024-08-23
BGS,"B&G Foods Holdings",8.41,0.18,+2.19%,8.24,8.465,8.19,646900,2024-08-23
BH,"Biglari Holdings Inc",181.79,5.64,+3.20%,177,181.79,176.31,2800,2024-08-23
BHB,"Bar Harbor Bankshares",31.84,1.78,+5.92%,30.59,32.26,30.59,48200,2024-08-23
BHE,"Benchmark Electronics",42.74,1.37,+3.31%,41.74,43.23,41.71,214000,2024-08-23
BHLB,"Berkshire Hills Bancorp",27.73,1.19,+4.48%,26.72,28.36,26.72,277600,2024-08-23
BHR,"Braemar Hotels & Resorts Inc",3.04,0.08,+2.70%,2.98,3.08,2.97,308800,2024-08-23
BHRB,"Burke Herbert Financial Services Corp",66.97,3.93,+6.23%,63.25,69.61,62.53,108900,2024-08-23
BHVN,"Biohaven Ltd",41.73,1.77,+4.43%,40.31,41.91,40.027,716100,2024-08-23
BIGC,"Bigcommerce Holdings Inc",5.81,0.13,+2.29%,5.79,5.92,5.71,538600,2024-08-23
BIPC,"Brookfield Infrastructure Partners LP Cl A",41.06,1.65,+4.19%,39.9,41.31,39.6,788900,2024-08-23
BJRI,"Bj's Restaurants Inc",32.68,1.05,+3.32%,31.66,33.4,31.63,374400,2024-08-23
BKD,"Brookdale Senior Living Inc",7.15,0.23,+3.32%,6.96,7.19,6.9,2221000,2024-08-23
BKE,"Buckle Inc",43.7,2.03,+4.87%,41.82,45.47,41.62,909100,2024-08-23
