年月,標的碼,標的名稱,投資股數(千股),投資比率％,投資金額(千元),持股數/流通在外股數%,個股月報酬率％,ISIN
2023/07,2454,聯發科,16546,3.58,11416862,1.03,0.2906,TW0002454006
2023/07,2881,富邦金,81967,1.68,5368846,0.66,10.2751,TW0002881000
2023/07,2886,兆豐金,124046,1.57,4992856,0.89,5.3664,TW0002886009
2023/07,2891,中信金,202589,1.67,5317956,1.03,5.634,TW0002891009
2023/07,M2300,電子工業,,63.86,203510917,,2.5745,
2023/07,M2800,金融業(合計),,4.92,15679658,,4.296,
2023/07,MTSE,國內上市,,68.78,219190575,,1.3591,
2023/07,TT99,基金總規模,,,318675156,,,
2023/06,1101,台泥,74610,0.83,2838893,1.04,0.3955,TW0001101004
2023/06,1216,統一,56931,1.27,4343848,1,2.692,TW0001216000
2023/06,1301,台塑,44301,1.11,3796592,0.7,-4.5301,TW0001301000
2023/06,1303,南亞,66992,1.42,4856901,0.84,-2.8475,TW0001303006
2023/06,1326,台化,40779,0.8,2736282,0.7,-0.538,TW0001326007
2023/06,1402,遠東新,47036,0.46,1573362,0.88,3.5605,TW0001402006
2023/06,1590,亞德客-KY,1869,0.56,1915398,0.93,3.3267,KYG014081064
2023/06,1605,華新,30032,0.36,1231327,0.75,-7.7942,TW0001605004
2023/06,2002,中鋼,146587,1.26,4309645,0.93,1.3793,TW0002002003
2023/06,2207,和泰車,3782,0.9,3078318,0.69,1.1181,TW0002207008
2023/06,2303,聯電,138930,1.97,6738095,1.11,0.502,TW0002303005
2023/06,2308,台達電,25615,2.58,8824510,0.99,11.9559,TW0002308004
2023/06,2317,鴻海,141657,4.68,16007252,1.02,6.1035,TW0002317005
2023/06,2327,國巨,4663,0.67,2291636,1.1,-3.2479,TW0002327004
2023/06,2330,台積電,284792,47.96,164040125,1.1,3.7062,TW0002330008
2023/06,2357,華碩,8374,0.77,2633672,1.13,3.1147,TW0002357001
